"key","message","comment","context"
"Show Model","显示模型",,"resources/views/Meta.xml:282"
"Show permissions","查看权限",,"resources/views/Group.xml:20"
"Size","大小",,"resources/domains/Meta.xml:173"
"Size in bytes","字节大小",,"resources/domains/Meta.xml:170"
"Sort order","顺序",,"resources/domains/MetaFilterChain.xml:13"
"Specify whether the members of this group are technical staff.","指定该组的成员是否是技术人员。",,"resources/domains/Group.xml:17"
"Specify whether to block the user for an indeterminate times.","指定是否阻止用户一段时间。",,"resources/domains/User.xml:21"
"Suffix","后缀",,"resources/domains/MetaSequence.xml:14"
"Table","表",,"resources/domains/Meta.xml:136"
"Technical staff","技术人员",,"resources/domains/Group.xml:17"
"The addition data for UI widgets.","UI小工具的额外数据。",,"resources/domains/Meta.xml:124"
"The module can't be uninstalled because other modules are pending. Please restart the server before.","该模块无法卸载，因为其他模块正在等待中。请先重新启动服务器。",,"java/com/axelor/meta/web/ModuleController.java:45"
"The module can't be uninstalled because other non-removable modules depend on it.","该模块无法卸载，因为其他不可卸载模块依赖于它。",,"java/com/axelor/meta/web/ModuleController.java:44"
"The scheduler service is disabled.","调度服务不可用。",,"java/com/axelor/quartz/JobRunner.java:157"
"The select item title.","选项标题",,"resources/domains/Meta.xml:122"
"The select item value.","选项值。",,"resources/domains/Meta.xml:123"
"This may terminate any running jobs. Are sure to continue?","这将停止所有正在运行的任务。确定继续吗？",,"resources/views/Schedules.xml:22"
"Title","标题",,"resources/domains/Meta.xml:122
resources/domains/Meta.xml:14
resources/domains/Meta.xml:29
resources/domains/Meta.xml:58
resources/domains/Meta.xml:79
resources/domains/MetaFilter.xml:15"
"Top","顶部菜单",,"resources/domains/Meta.xml:61"
"Translation","翻译",,"resources/views/Meta.xml:302
resources/views/Meta.xml:303"
"Tree","树",,"resources/views/Meta.xml:9"
"Type","类型",,"resources/domains/Meta.xml:149
resources/domains/Meta.xml:30
resources/domains/Meta.xml:94
resources/domains/MetaFilterChain.xml:11"
"USER",,,"resources/views/FilterChains.xml:17"
"Uninstall","卸载",,"resources/views/Meta.xml:56"
"Updated by","更新人",,"java/com/axelor/auth/db/AuditableModel.java:53"
"Updated on","更新时间",,"java/com/axelor/auth/db/AuditableModel.java:46"
"User","用户",,"resources/domains/MetaFilter.xml:21
resources/views/User.xml:20"
"User Management","用户管理",,"resources/views/Menu.xml:7"
"User preferences","用户偏好",,"resources/views/User.xml:51"
"Users","用户",,"resources/views/Menu.xml:15
resources/views/Menu.xml:17
resources/views/User.xml:11"
"Validate","验证",,"resources/views/Schedules.xml:21"
"Value","值",,"resources/domains/Meta.xml:123
resources/domains/MetaSchedule.xml:11"
"Version","版本",,"resources/domains/Meta.xml:17"
"View","视图",,"resources/views/Meta.xml:84"
"View Management","视图管理",,"resources/views/Menu.xml:9"
"Views","视图",,"resources/domains/Group.xml:23
resources/views/Menu.xml:80"
"Visible","显示",,"resources/views/Group.xml:7"
"Whether to grant create access.","是否给予创建权限。",,"resources/domains/Permission.xml:17"
"Whether to grant export access.","是否给予导出权限。",,"resources/domains/Permission.xml:19"
"Whether to grant read access.","是否给予读权限。",,"resources/domains/Permission.xml:15"
"Whether to grant remove access.","是否给予删除权限。",,"resources/domains/Permission.xml:18"
"Whether to grant write access.","是否给予写权限。",,"resources/domains/Permission.xml:16"
"Write","写",,"resources/domains/Permission.xml:16"
"Xml","Xml",,"resources/domains/Meta.xml:106
resources/domains/Meta.xml:34
resources/domains/Meta.xml:35
resources/domains/Meta.xml:97"
"You are not allowed to remove this filter","您无法删除这个过滤器。",,"java/com/axelor/meta/service/MetaFilterService.java:71"
"You are not authorized to create this resource.","您无权创建该资源。",,"java/com/axelor/db/JpaSecurity.java:31"
"You are not authorized to export the data.","您无权导出该资源。",,"java/com/axelor/db/JpaSecurity.java:33"
"You are not authorized to read this resource.","您无权读取该资源。",,"java/com/axelor/db/JpaSecurity.java:29"
"You are not authorized to remove this resource.","您无权删除该资源。",,"java/com/axelor/db/JpaSecurity.java:32"
"You are not authorized to update this resource.","您无权更新该资源。",,"java/com/axelor/db/JpaSecurity.java:30"
"You can't delete: %s#%s","Vous ne pouvez pas supprimer la ressource : %s#%s",,"java/com/axelor/auth/db/AuditInterceptor.java:158"
"You can't update: %s#%s, values (%s=%s)","Vous ne pouvez pas mettre à jour la ressource : %s#%s, valeurs (%s=%s)",,"java/com/axelor/auth/db/AuditInterceptor.java:118"
"action-attrs","action-attrs",,"resources/views/Meta.xml:19"
"action-condition","action-condition",,"resources/views/Meta.xml:23"
"action-export","action-export",,"resources/views/Meta.xml:27"
"action-group","action-group",,"resources/views/Meta.xml:21"
"action-import","action-import",,"resources/views/Meta.xml:26"
"action-method","action-method",,"resources/views/Meta.xml:25"
"action-record","action-record",,"resources/views/Meta.xml:24"
"action-validate","action-validate",,"resources/views/Meta.xml:22"
"action-view","action-view",,"resources/views/Meta.xml:20"
"action-workflow","action-workflow",,"resources/views/Meta.xml:29"
"action-ws","action-ws",,"resources/views/Meta.xml:28"
"confirm password","确认密码",,"resources/views/User.xml:39
resources/views/User.xml:57"
"login name","登录名",,"resources/views/User.xml:23"
"new password","新密码",,"resources/views/User.xml:38
resources/views/User.xml:56"
"user group","用户组",,"resources/views/User.xml:24"
"user name","用户名",,"resources/views/User.xml:22"
